19	13929
4	4124
25	6278
2	6987
13	4014
38	12071
45	7759
5	1840
5	1555
10	2545
19	3782
14	3996
22	11104
22	7710
15	4811
3	2534
3	2118
57	13346
3	3098
3	1986
57	17489
15	6046
8	4810
6	3277
8	4687
4	2617
3	1953
32	10653
57	17560
17	5001
30	22504
10	2863
12	3394
20	4199
13	6362
24	7684
135	33593
192	48248
4	2876
103	27879
119	28660
13	6538
34	10246
63	16703
19	6172
2	7955
2	1707
2	1665
2	1273
3	1959
3	5942
3	2159
3	3384
3	1913
2	3820
2	1917
2	2554
2	1933
3	2730
3	5033
3	1409
3	1756
3	1216
3	4226
3	1654
3	1393
3	1184
15	5923
1	2732
1	15750
1	1675
1	1505
1	1503
1	2877
27	12553
15	4801
9	3246
12	4071
15	4522
1	1408
37	9533
48	12964
45	11753
25	7155
37	9763
7	3999
1	2690
2	1623
2	1258
1	1002
2	1119
2	1074
2	1075
2	1438
2	1118
8	2484
6	1843
15	2947
47	7029
10	2226
34	5617
2	2309
2	1756
2	1695
12	4223
22	6499
7	2577
6	2376
7	4577
21	5373
21	5604
18	5125
3	2090
3	1529
3	1284
2	1718
1	1232
68	9850
5	2141
4	1513
25	4280
15	3777
5	2150
77	11277
84	13379
5	12560
8	1875
14	1513
24	2538
4	2024
13	2289
12	2025
63	3260
19	2081
10	1939
23	2450
7	2025
3	1899
4	2184
10	1638
4	1301
10	1412
25	2380
21	3333
7	14390
3	1320
3	1967
25	2664
23	1739
4	2926
11	21376
11	5912
11	4432
2	2153
2	1929
1	1621
11	6087
3	2610
3	1822
3	1767
3	1556
6	2114
27	5242
18	16692
10	4388
14	5060
8	3728
17	5419
15	4550
2	2586
7	7215
23	4893
16	4098
10	3373
11	3006
7	3463
8	2204
9	2186
10	2315
10	4562
4	2716
10	4151
6	3143
25	5807
23	4480
23	3980
17	3139
2	10200
4	2793
4	2225
18	6879
8	4022
6	2543
10	2717
89	21044
4	2677
6	2929
8	7579
61	12145
69	13015
4	2355
9	4528
2	2406
2	1949
21	11223
19	7326
15	5437
32	8990
13	4498
22	7758
14	5901
14	4805
24	8319
8	5707
4	3413
51	15480
2	2245
5	2921
78	22041
52	14534
93	24765
27	8195
86	23726
106	27228
10	4062
10	3928
10	4643
6	3782
19	7021
8	3651
2	2467
15	5013
18	8602
56	14706
21	9312
1	3866
1	11268
1	1483
1	1432
1	1190
4	2213
11	3697
9	2772
14	4279
19	4031
15	3104
32	4908
13	2470
22	3645
14	3197
14	2715
116	16247
2	1577
19	3648
2	1649
3	1592
19	3434
8	3149
7	2753
6	2381
7	1661
1	952
2	2085
64	15369
15	14823
13	5498
19	5252
17	5014
23	5249
21	4162
21	4003
6	3232
13	8427
31	3107
16	1980
5	1438
15	1670
13	1254
19	1406
17	1336
