0	7173
4	787
8	530
12	488
16	451
20	393
24	406
28	403
0	703
4	567
8	431
12	406
16	386
20	382
24	410
28	386
0	734
4	455
8	411
12	387
16	378
20	376
24	364
28	375
0	593
4	481
8	450
12	411
16	386
20	354
24	384
28	381
0	852
4	624
8	547
12	493
16	532
20	565
24	532
28	500
0	722
4	529
8	535
12	527
16	496
20	505
24	493
28	530
0	743
4	629
8	518
12	516
16	542
20	538
24	534
28	550
0	652
4	590
8	534
12	452
16	551
20	498
24	457
28	1281
0	610
4	528
8	464
12	444
16	454
20	441
24	444
28	447
0	565
4	486
8	378
12	388
16	377
20	379
24	374
28	380
0	784
4	655
8	559
12	550
16	507
20	520
24	498
28	546
0	690
4	598
8	526
12	482
16	535
20	530
24	512
28	529
0	748
4	571
8	537
12	529
16	517
20	558
24	531
28	534
0	655
4	474
8	420
12	429
16	432
20	438
24	425
28	440
0	802
4	631
8	546
12	527
16	524
20	528
24	547
28	546
0	573
4	523
8	439
12	445
16	432
20	441
24	436
28	806
0	640
4	708
8	406
12	387
16	342
20	392
24	387
28	388
0	463
4	407
8	375
12	358
16	378
20	379
24	372
28	400
