0	2027
4	933
8	628
12	556
16	545
20	508
24	549
28	512
32	548
36	531
40	489
44	504
48	530
52	531
56	502
60	540
0	792
4	467
8	418
12	361
16	375
20	361
24	362
28	461
32	371
36	373
40	382
44	402
48	373
52	380
56	367
60	374
0	828
4	402
8	388
12	380
16	359
20	392
24	398
28	379
32	374
36	379
40	360
44	361
48	366
52	403
56	372
60	367
0	575
4	410
8	368
12	382
16	370
20	375
24	396
28	408
32	373
36	393
40	361
44	400
48	345
52	372
56	368
60	1196
0	949
4	501
8	471
12	441
16	447
20	472
24	438
28	428
32	434
36	444
40	448
44	426
48	436
52	439
56	441
60	441
0	712
4	483
8	489
12	457
16	469
20	442
24	446
28	448
32	440
36	440
40	446
44	444
48	435
52	430
56	444
60	444
0	786
4	495
8	461
12	458
16	439
20	435
24	433
28	446
32	448
36	437
40	437
44	448
48	433
52	445
56	369
60	388
0	634
4	503
8	399
12	389
16	381
20	412
24	382
28	381
32	387
36	416
40	382
44	381
48	377
52	379
56	384
60	745
0	741
4	519
8	435
12	471
16	442
20	441
24	440
28	436
32	451
36	441
40	450
44	441
48	421
52	422
56	445
60	465
0	677
4	474
8	483
12	456
16	441
20	442
24	437
28	459
32	457
36	451
40	387
44	390
48	380
52	380
56	376
60	372
0	737
4	553
8	471
12	451
16	363
20	405
24	370
28	373
32	383
36	380
40	377
44	370
48	349
52	373
56	390
60	372
0	653
4	418
8	382
12	382
16	413
20	381
24	386
28	376
32	377
36	366
40	383
44	380
48	372
52	363
56	382
60	2029
0	723
4	505
8	461
12	457
16	428
20	434
24	445
28	446
32	382
36	375
40	378
44	389
48	374
52	371
56	383
60	377
0	615
4	482
8	403
12	399
16	395
20	386
24	381
28	370
32	409
36	379
40	385
44	380
48	371
52	374
56	377
60	360
0	701
4	501
8	405
12	371
16	369
20	381
24	379
28	389
32	377
36	374
40	386
44	373
48	381
52	384
56	378
60	387
0	590
4	417
8	438
12	388
16	381
20	412
24	412
28	383
32	381
36	380
40	383
44	374
48	377
52	383
56	383
60	6866
0	693
4	461
8	401
12	378
16	388
20	373
24	391
28	387
32	391
36	390
40	392
44	396
48	403
52	387
56	388
60	450
0	626
4	427
8	404
12	396
16	379
20	399
24	403
28	403
32	398
36	372
40	399
44	394
48	403
52	394
56	396
60	393
